,ObservationDate,actual,predict
0,2020-12-04,590.0,10391.09
1,2020-12-04,493.0,4177.83
2,2020-12-04,182.0,3695.6846
3,2020-12-04,2000.0,731.032
4,2020-12-04,263.0,3512.522
5,2020-12-04,147.0,-3329.2126
6,2020-12-04,171.0,1300.1893
7,2020-12-04,373.0,1106.4392
8,2020-12-04,949.0,1729.1154
9,2020-12-04,1295.0,5847.757
10,2020-12-04,68149.0,15847.942
11,2020-12-04,1020.0,2709.3928
12,2020-12-04,333.0,1723.3993
13,2020-12-04,680.0,-688.03503
14,2020-12-04,935.0,4132.946
15,2020-12-04,157.0,9050.451
16,2020-12-04,289.0,-3389.943
17,2020-12-04,75.0,1438.7323
18,2020-12-04,18.0,894.6462
19,2020-12-04,501.0,485.874
20,2020-12-04,857.0,420.18057
21,2020-12-04,1353.0,6841.966
22,2020-12-04,222.0,15947.098
23,2020-12-04,811.0,-3967.9062
24,2020-12-04,300.0,3252.602
25,2020-12-04,1.0,-52.132683
26,2020-12-04,980.0,419.9394
27,2020-12-04,219.0,144.12804
28,2020-12-04,1294.0,-2566.2756
29,2020-12-05,992.0,4002.8171
30,2020-12-05,952.0,11400.457
31,2020-12-05,590.0,10391.09
32,2020-12-05,499.0,4177.83
33,2020-12-05,182.0,3763.8757
34,2020-12-05,2002.0,689.9911
35,2020-12-05,263.0,3512.4822
36,2020-12-05,147.0,-3327.855
37,2020-12-05,171.0,1300.1893
38,2020-12-05,373.0,1106.4392
39,2020-12-05,949.0,1729.1154
40,2020-12-05,1295.0,5847.757
41,2020-12-05,68149.0,15847.942
42,2020-12-05,1020.0,2709.3928
43,2020-12-05,333.0,1723.3993
44,2020-12-05,680.0,-688.03503
45,2020-12-05,935.0,4132.946
46,2020-12-05,157.0,9050.451
47,2020-12-05,289.0,-3389.943
48,2020-12-05,75.0,1438.7323
49,2020-12-05,18.0,894.6462
50,2020-12-05,502.0,485.874
51,2020-12-05,857.0,420.34534
52,2020-12-05,1359.0,6851.5254
53,2020-12-05,222.0,16030.675
54,2020-12-05,812.0,-3980.079
55,2020-12-05,301.0,3254.773
56,2020-12-05,1.0,-42.69895
57,2020-12-05,980.0,415.14725
58,2020-12-05,220.0,144.12804
59,2020-12-05,1294.0,-2548.0078
60,2020-12-06,992.0,4023.0994
61,2020-12-06,952.0,11400.457
62,2020-12-06,590.0,10391.09
63,2020-12-06,500.0,4177.83
64,2020-12-06,182.0,3775.2278
65,2020-12-06,2004.0,683.0687
66,2020-12-06,263.0,3512.4407
67,2020-12-06,147.0,-3326.4907
68,2020-12-06,171.0,1300.1893
69,2020-12-06,373.0,1106.4392
70,2020-12-06,949.0,1729.1154
71,2020-12-06,1295.0,5847.757
72,2020-12-06,68149.0,15847.942
73,2020-12-06,1020.0,2709.3928
74,2020-12-06,336.0,1723.3993
75,2020-12-06,680.0,-632.6956
76,2020-12-06,935.0,4161.672
77,2020-12-06,157.0,9050.451
78,2020-12-06,289.0,-3389.943
79,2020-12-06,75.0,1438.7323
80,2020-12-06,18.0,894.6462
81,2020-12-06,502.0,485.874
82,2020-12-06,857.0,420.34534
83,2020-12-06,1366.0,6851.5254
84,2020-12-06,222.0,16128.029
85,2020-12-06,812.0,-3993.9194
86,2020-12-06,301.0,3254.773
87,2020-12-06,1.0,-42.69895
88,2020-12-06,980.0,415.14725
89,2020-12-06,221.0,144.12804
90,2020-12-06,1295.0,-2529.7427
